sintoma,frecuencia
elevación de la temperatura corporal,5
inflamación,4
sonido respiratorio agudo,3
coloración azulada de piel,3
episodios de diaforesis profusa durante el sueño,2
generalmente inspiratorio,2
carencia de reflejo tusígeno,2
coloración azulada de la piel,2
ganglios linfáticos anteriores del cuello agrandados,2
afectando tejido subcutáneo o submucoso.,1
a menudo unilaterales en casos bronquiales.,1
acumulación de líquido abdominal o periférico en casos de cirrosis descompensada.,1
alteración en la emisión de la voz o ronquera por compromiso de las cuerdas vocales.,1
alta en la fase activa.,1
alteración del tono de la voz,1
agrandamiento del hígado detectable a la palpación (80% en hav).,1
asociada generalmente a aftas mayores.,1
aspecto característico de la mucosa que recubre el tumor vascular durante la laringoscopia.,1
atragantamiento o incoordinación succión-deglución.,1
a menudo exacerbado en decúbito supino o durante el llanto.,1
aumento marcado del volumen de la lengua que puede comprometer la permeabilidad de la vía aérea.,1
alteración en la fonación cuando la estenosis se extiende o afecta la movilidad cordal.,1
alteración fonatoria secundaria al estrechamiento de la vía aérea.,1
alteración en el control vesical o intestinal secundaria a compresión medular severa.,1
"bloqueo agudo del paso de aire (""the strangling angel"") secundario a la membrana",1
base de la úlcera cubierta por una pseudomembrana de color amarillento o grisáceo.,1
autolimitada que no deja fóvea a la presión,1
característica de la otitis media con efusión (ome).,1
característico del angioedema histaminérgico (mediado por mastocitos).,1
cese completo de la ventilación espontánea en casos de obstrucción total.,1
coexiste frecuentemente en formas mediadas por mastocitos.,1
bordes bien definidos.,1
coloración amarillenta de piel,1
compresible,1
compromiso ventilatorio potencial debido al estrechamiento de las vías aéreas.,1
aumento de la frecuencia cardíaca (ritmo sinusal) registrado en la admisión.,1
confusión,1
considerado un factor contribuyente mayor.,1
crónicas.,1
anillo periférico de color rojo intenso que rodea la lesión (reflejo inflamatorio).,1
de forma ovalada,1
de varias semanas de evolución.,1
deformidad angular cifótica visible en la espalda secundaria al colapso vertebral anterior.,1
debilidad dinámica de las paredes traqueales adyacentes a la zona de estenosis fija.,1
deglución debido al compromiso de la vía aérea.,1
dejar cicatriz.,1
del reflejo luminoso normal de la membrana timpánica.,1
deformidad de la pared torácica resultante de la presión negativa crónica por obstrucción de la vía aérea.,1
desplazamiento convexo de la membrana timpánica hacia el conducto auditivo externo por presión de fluido.,1
desplazamiento hacia adentro de los aritenoides o la epiglotis visualizado mediante laringoscopia flexible.,1
dificultad para respirar de intensidad variable según el sitio de impacto.,1
dificultad progresiva para deglutir líquidos,1
dificultad respiratoria progresiva que se manifiesta inicialmente durante la actividad física.,1
dificultad respiratoria subjetiva,1
discomfort o dolor localizado en el cuadrante superior derecho del abdomen.,1
desplazamiento anterior de la lengua que dificulta la caracterización de la orofaringe.,1
disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica.,1
disminución de la capacidad auditiva por la presencia de fluido o inflamación en el oído medio.,1
dolor a la palpación suave en las regiones submentales o del cuello.,1
disminución del movimiento de la membrana timpánica detectado mediante otoscopia neumática.,1
dolor de cabeza intenso,1
dolor de oído de inicio reciente,1
dolor dorsolumbar focal de inicio gradual,1
dolor agudo experimentado durante el acto de la deglución.,1
dolor localizado en la región posterior del cuello,1
dolor que irradia siguiendo un patrón dermatómico por compresión de raíces nerviosas.,1
edema del disco óptico por hipertensión intracraneal (observado en fundoscopia).,1
común en angioedema hereditario.,1
"(implícito en ""laryngeal diphtheria"") manifestación clínica de la afectación laríngea que requiere intervención operativa.",1
70% de hav.,1
a menudo confundido con laringotraqueítis recurrente.,1
"a menudo en ""proyectil"".",1
elevación térmica que puede ser de bajo grado en el pródromo,1
elevación de temperatura,1
el edema.,1
el dolor por las úlceras.,1
edema adicional en la mucosa laríngea.,1
episodios de actividad neuronal excesiva (presente en 20-40% de casos).,1
enrojecimiento intenso de la membrana timpánica debido a la inflamación vascular.,1
erupción cutánea hemorrágica (característico de n. meningitidis).,1
espasticidad) por compresión del canal espinal.,1
especialmente frecuente en lactantes,1
expulsión forzada de contenido gástrico,1
expulsar secreciones bronquiales a través del segmento estrechado.,1
flexión involuntaria de caderas,1
formación de una membrana extensa en la vía aérea superior capaz de causar obstrucción mecánica letal.,1
esfuerzo ventilatorio aumentado que progresa durante la fase de proliferación (1-6 meses de edad).,1
elevación térmica que puede ser sutil o de bajo grado.,1
frecuentemente secundaria a la irritación crónica por reflujo.,1
frecuentemente asociada a cuerpos extraños laríngeos.,1
hallazgo endoscópico de tejido fibrótico o cartilaginoso que estrecha la vía aérea.,1
generalizado.,1
hav (<0.5%) pero riesgo elevado (15-25%) en embarazadas con hev.,1
heces pálidas observadas durante la fase ictérica de la infección.,1
hinchazón de los tejidos laríngeos,1
hallazgo endoscópico de una lesión submucosa,1
hinchazón difusa que involucra el suelo de la boca,1
hundimiento visible del tórax (supraesternal,1
incapacidad para movilizar,1
incapacidad para ganar peso de forma adecuada (failure to thrive) debido al alto gasto calórico respiratorio.,1
indicativa de perforación.,1
indicativo de infección crónica o sistémica.,1
inflamación de ganglios linfáticos regionales,1
enrojecimiento de la piel sobre las regiones submandibular o submental.,1
intercostal o subcostal) por el esfuerzo inspiratorio.,1
interferencia con la succión,1
interrupción de la ingesta por fatiga respiratoria,1
intolerancia o hipersensibilidad visual a la luz.,1
intubación).,1
la región submandibular,1
lactantes.,1
lesiones eritematosas planas que se expanden rápidamente por la superficie corporal.,1
lesiones similares en mucosa de órganos sexuales (característico de aftosis compleja).,1
lesiones vasculares en piel,1
letargo o disminución del nivel de conciencia.,1
limitación dolorosa de la movilidad cervical (asociada a espasmo muscular).,1
llanto de tono alto e irritabilidad extrema en neonatos,1
llanto inconsolable,1
localizada,1
localizada que se exacerba con la masticación o el habla.,1
malestar general,1
malestar general (síntomas de tipo influenza).,1
malestar tipo cólico derivado del edema de la pared intestinal,1
manifestaciones gastrointestinales secundarias a la afectación de la mucosa del tracto digestivo.,1
manifestación respiratoria frecuente durante la fase prodrómica.,1
movimientos involuntarios de náusea provocados por la presencia del objeto en la vía aérea superior.,1
mucosas,1
mucosas asociada a episodios de obstrucción severa e hipoxemia.,1
mucosas debida a una oxigenación insuficiente.,1
mucosas durante episodios de obstrucción severa o llanto.,1
mucosas en estadios avanzados por hipoxemia crítica.,1
múltiples lesiones puntiformes (de 10 a 100) que pueden coalecer en placas mayores.,1
necrosis hepática masiva aguda,1
necróticas que pueden persistir semanas,1
niños pequeños.,1
insuficiencia ventilatoria crítica que resulta en la muerte si no se interviene (traqueotomía,1
no relacionada con otitis externa,1
nota importante: ausente en aproximadamente el 50% de los casos.,1
orina oscura que aparece frecuentemente junto con la ictericia en la fase aguda.,1
objetiva ante el compromiso de la vía aérea superior.,1
parte de la tríada clásica.,1
pausas en el flujo respiratorio debido al colapso total temporal de la vía aérea superior.,1
por obstrucción incompleta laríngea o traqueal.,1
parestesias),1
presencia de habones eritematosos,1
presencia de piezas dentales en mal estado,1
presente en el 30% de casos agudos de hbv,1
presente frecuentemente en la fase supurativa aguda.,1
presentes en >30% de casos cervicales.,1
"presentes en el 50% de los casos (especialmente en distribución de ""barba"").",1
producción excesiva de saliva secundaria a la irritación,1
predominante en formas mediadas por bradicinina.,1
progresivo.,1
protrusión de la fontanela anterior visible en lactantes.,1
pruriginosos que afectan la dermis superficial,1
pérdida de apetito,1
pérdida de la transparencia,1
que suele ser de moderado a grave en la fase aguda.,1
rara en hbv,1
reducción unilateral de la entrada de aire detectada mediante auscultación.,1
reflejo tusígeno brusco presente en un niño previamente sano mientras come o juega.,1
reflejo tusígeno persistente causado por la alteración mecánica del flujo aéreo o tejido cicatricial.,1
reflejo tusígeno similar al del crup viral,1
regurgitación de ácido gástrico que genera irritación,1
resistencia dolorosa a la flexión del cuello (meningismo).,1
resistencia o dolor al extender la rodilla con la cadera flexionada a 90°.,1
rodillas al flexionar pasivamente el cuello.,1
progresivo,1
ruidos musicales detectados durante la respiración,1
salida de secreción purulenta del oído,1
"sensación de ""oído tapado""",1
salivación excesiva o babeo por incapacidad de deglutir debido al edema orofaríngeo.,1
sensación de mareo gástrico comunes en la fase prodrómica.,1
sensación de quemazón o dolor sordo en la zona inflamada,1
sensación de quemazón o prurito que precede a la aparición de la lesión en 24-48 horas.,1
sensación de cansancio extremo,1
sensación persistente de cansancio,1
sensación subjetiva de picor intenso,1
signo clásico de tuberculosis activa.,1
signos de compresión medular o radicular (ej. debilidad,1
signos de obstrucción aguda de la vía aérea con incapacidad para hablar o toser.,1
signos de sufrimiento medular (debilidad,1
solución de continuidad de la mucosa,1
sensación dolorosa intensa,1
sonido agudo generado por el colapso de los tejidos supraglóticos hacia la vía aérea durante la inspiración.,1
sonido audible durante el ciclo respiratorio,1
sonido respiratorio agudo detectable tanto en la inspiración como en la espiración por obstrucción fija.,1
sonido respiratorio agudo e inspiratorio derivado de la obstrucción de la vía aérea superior por edema laríngeo.,1
