patologia_origen,cie_origen,patologia_diferencial,cie_diferencial,hoja_fuente,motivo,sistema_diferencial
Faringitis Estreptocócica,J02.0,Croup (Laringotraqueítis),J05.0,Faringitis Estreptocócica J02.0,,
Faringitis Aguda,J02.8 / J02.9,Epiglotitis,J05.1,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,Absceso Periamigdalino,J36,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,Absceso Retrofaríngeo,L02.11,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,Traqueítis Bacteriana,J04.1,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,Mononucleosis Infecciosa,B27.0,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,Síndrome de Lemierre,G08,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,ERGE (Reflujo Gastroesofágico),K21.9,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.9,Rinitis Alérgica / Sinusitis,J30.9 / J32.9,Faringitis Aguda J02.8,,
Faringitis Aguda,J02.8 / J02.10,Sinusitis (Rinosinusitis),J01.9,Faringitis Aguda J02.8,,
Amigdalitis Estreptocócica,J03.0,Enfermedad de Kawasaki,M30.3,Amigdalitis Estreptocócica J03.,,
Amigdalitis Aguda,J03.8 / J03.9,Síndrome de Stevens-Johnson,L51.1,Amigdalitis Aguda J03.8 J03.9,,
Amigdalitis Aguda,J03.8 / J03.9,Estomatitis Aftosa,K12.0,Amigdalitis Aguda J03.8 J03.9,,
Amigdalitis Aguda,J03.8 / J03.9,Angioedema,T78.3,Amigdalitis Aguda J03.8 J03.9,,
Amigdalitis Aguda,J03.8 / J03.9,Otitis Media (Dolor referido),H66.9,Amigdalitis Aguda J03.8 J03.9,,
Croup (Laringotraqueítis),J05.0,Epiglotitis,J05.1,Croup (Laringotraqueítis),,
Croup (Laringotraqueítis),J05.0,Traqueítis Bacteriana,J04.1,Croup (Laringotraqueítis),,
Croup (Laringotraqueítis),J05.0,Absceso Periamigdalino,J36,Croup (Laringotraqueítis),,
